/home/chillizu/Projects/Folunar_/scripts/train_word.py:96: RuntimeWarning: coroutine 'DockerSandbox.execute' was never awaited
  result = run_cmd(sandbox, cmd)
RuntimeWarning: Enable tracemalloc to get the object allocation traceback
🧠 词级思考链架构
   参数: 3,233,373
   词表: 918 词 + 16 行动
   Docker: 640e0c3a076b

   轮 |                     行动 |       损失 |  思考len |   多样 |    好奇
-----------------------------------------------------------------
   5 |                     ls |   6.8232 |    3.0 |    3 | 0.498
  10 |                 uptime |   6.8283 |    3.0 |    7 | 0.499
  15 |             echo hello |   6.8118 |    3.0 |   11 | 0.499
  20 |      cat /etc/hostname |   6.8339 |    3.0 |   13 | 0.498
  25 |                 ls -la |   6.8253 |    3.0 |   14 | 0.495
  30 |                ls /tmp |   6.8490 |    3.0 |   14 | 0.493
  35 |                 ls -la |   6.8680 |    3.0 |   14 | 0.493
  40 |                df -h / |   6.8255 |    3.0 |   14 | 0.496
  45 |                free -h |   6.8487 |    3.0 |   14 | 0.501
  50 |             echo hello |   6.9208 |    3.0 |   14 | 0.505
  55 |                 whoami |   6.7391 |    3.0 |   14 | 0.504
  60 |             echo hello |   6.9489 |    3.0 |   15 | 0.507
  65 |               uname -a |   6.8720 |    3.0 |   14 | 0.501
  70 |               uname -a |   6.8847 |    3.0 |   13 | 0.495
  75 |                 uptime |   6.8305 |    3.0 |   12 | 0.489
  80 |                date -u |   6.8655 |    3.0 |   12 | 0.485
  85 |                     ls |   6.8730 |    3.0 |   13 | 0.479
  90 |                 ls -la |   6.8139 |    3.0 |   13 | 0.478
  95 |               uname -a |   6.8446 |    3.0 |   14 | 0.482
 100 |                ls /tmp |   6.8241 |    3.0 |   14 | 0.486
 105 |               uname -a |   6.7693 |    3.0 |   14 | 0.488
 110 |                free -h |   7.1349 |    3.0 |   15 | 0.494
 115 |                df -h / |   6.8507 |    3.0 |   13 | 0.493
 120 |                 who -b |   6.8618 |    3.0 |   13 | 0.499
 125 |             echo hello |   6.8558 |    3.0 |   13 | 0.498
 130 |               uname -a |   6.8841 |    3.0 |   13 | 0.498
 135 |               uname -a |   6.7763 |    3.0 |   13 | 0.498
 140 |               uname -a |   6.9722 |    3.0 |   11 | 0.499
 145 |                     ls |   6.8647 |    3.0 |   14 | 0.499
 150 |                date -u |   6.8243 |    3.0 |   14 | 0.499
 155 |                date -u |   6.9781 |    3.0 |   12 | 0.496
 160 |                    pwd |   6.8859 |    3.0 |   12 | 0.492
 165 |                 uptime |   6.9589 |    3.0 |   12 | 0.495
 170 |                free -h |   6.8123 |    3.0 |   11 | 0.493
 175 |            du -sh /tmp |   6.8082 |    3.0 |   13 | 0.496
 180 |               uname -a |   6.7656 |    3.0 |   12 | 0.488
 185 |                ls /tmp |   6.8420 |    3.0 |   14 | 0.490
 190 |               uname -a |   6.6606 |    3.0 |   14 | 0.492
 195 |                 ls -la |   6.7998 |    3.0 |   13 | 0.495
 200 |            du -sh /tmp |   7.1280 |    3.0 |   13 | 0.500
 205 |                 who -b |   6.9225 |    3.0 |   13 | 0.493
 210 |               hostname |   6.9551 |    3.0 |   11 | 0.487
 215 |               hostname |   6.9134 |    3.0 |   11 | 0.491
 220 |               uname -a |   6.9350 |    3.0 |   11 | 0.494
 225 |                date -u |   6.8900 |    3.0 |   12 | 0.493
 230 |                 uptime |   6.8264 |    3.0 |   11 | 0.497
 235 |                     ls |   6.9652 |    3.0 |   13 | 0.502
 240 |                ls /tmp |   6.8900 |    3.0 |   13 | 0.503
 245 |                df -h / |   6.6477 |    3.0 |   15 | 0.493
 250 |               hostname |   7.0695 |    3.0 |   14 | 0.497
 255 |      cat /etc/hostname |   6.9422 |    3.0 |   14 | 0.492
 260 |               hostname |   6.7886 |    3.0 |   15 | 0.493
 265 |               uname -a |   6.8898 |    3.0 |   14 | 0.497
 270 |                free -h |   6.6780 |    3.0 |   14 | 0.493
 275 |                 whoami |   7.0851 |    3.0 |   15 | 0.495
 280 |                ls /tmp |   6.9994 |    3.0 |   14 | 0.494
 285 |                 who -b |   6.6964 |    3.0 |   13 | 0.496
 290 |             echo hello |   6.7502 |    3.0 |   13 | 0.494
 295 |                ls /tmp |   6.8171 |    3.0 |   13 | 0.493
 300 |                ls /tmp |   6.6220 |    3.0 |   12 | 0.491
 305 |                 ls -la |   7.0564 |    3.0 |   12 | 0.489
 310 |                df -h / |   6.8686 |    3.0 |   11 | 0.489
 315 |               hostname |   6.8488 |    3.0 |   13 | 0.486
 320 |                    pwd |   7.0025 |    3.0 |   13 | 0.487
 325 |                date -u |   6.8953 |    3.0 |   15 | 0.488
 330 |               hostname |   6.9317 |    3.0 |   15 | 0.492
 335 |                 ls -la |   6.6233 |    3.0 |   14 | 0.490
 340 |               uname -a |   6.9902 |    3.0 |   13 | 0.487
 345 |                df -h / |   6.7932 |    3.0 |   14 | 0.491
 350 |                 uptime |   6.9829 |    3.0 |   13 | 0.488
 355 |                     ls |   7.1340 |    3.0 |   11 | 0.491
 360 |            du -sh /tmp |   6.8917 |    3.0 |   10 | 0.491
 365 |                date -u |   6.9456 |    3.0 |   11 | 0.495
 370 |                df -h / |   6.9388 |    3.0 |   13 | 0.494
 375 |                date -u |   6.8465 |    3.0 |   13 | 0.493
 380 |                 whoami |   6.7879 |    3.0 |   15 | 0.494
 385 |                 who -b |   6.7373 |    3.0 |   16 | 0.489
 390 |                 ls -la |   6.9315 |    3.0 |   15 | 0.486
 395 |             echo hello |   6.7530 |    3.0 |   15 | 0.483
 400 |             echo hello |   6.9739 |    3.0 |   15 | 0.483
 405 |                 whoami |   6.7497 |    3.0 |   13 | 0.486
 410 |      cat /etc/hostname |   7.1592 |    3.0 |   14 | 0.484
 415 |                free -h |   7.0060 |    3.0 |   14 | 0.487
 420 |             echo hello |   6.9552 |    3.0 |   13 | 0.490
 425 |                 whoami |   6.8807 |    3.0 |   14 | 0.490
 430 |      cat /etc/hostname |   6.7474 |    3.0 |   14 | 0.491
 435 |                 uptime |   6.8624 |    3.0 |   14 | 0.490
 440 |                 uptime |   6.7213 |    3.0 |   15 | 0.488
 445 |                 whoami |   7.0314 |    3.0 |   13 | 0.485
 450 |      cat /etc/hostname |   6.9928 |    3.0 |   13 | 0.479
 455 |                date -u |   6.9027 |    3.0 |   14 | 0.481
 460 |                ls /tmp |   6.8944 |    3.0 |   15 | 0.483
 465 |                free -h |   6.8541 |    3.0 |   15 | 0.488
 470 |               uname -a |   6.9347 |    3.0 |   14 | 0.495
 475 |                df -h / |   6.9582 |    3.0 |   15 | 0.496
 480 |                df -h / |   6.9570 |    3.0 |   15 | 0.499
 485 |             echo hello |   6.9172 |    3.0 |   14 | 0.500
 490 |      cat /etc/hostname |   6.8417 |    3.0 |   14 | 0.498
 495 |                     ls |   7.0511 |    3.0 |   13 | 0.499
 500 |                    pwd |   7.0505 |    3.0 |   14 | 0.499

✅ 500 轮完成
   最终损失: 7.0508
   行动多样性: 16/16

🧪 思考链生成测试:
  思考: relafullquoteDREble ..84 10 groupN8VERSINFO21TTYath 90fullquote etc srvinuxvirmy 3ther=()er/"MIC Wed20
  行动: ...
