sample_idx,state_text,intent,intent_id
0,系统概览: 查看进程信息 路径: /tmp 历史: grep → cat → cd,INFO,3
1,沙箱状态: 需读取当前时间 当前: /opt 历史: 无,INFO,3
2,当前目录: /tmp 需确认 curl 是否安装 历史: date → df,INSPECT,4
3,当前目录: /etc 已知文件: apt/sources.list 上步: 检查系统信息 历史: 无,READ,0
4,帮助查询: lsof 当前路径 /var/log 历史: 刚进入环境,HELP,7
5,系统检查: 系统版本 位置 /home 历史: pwd → head → wc,INFO,3
6,计数需求: index.html 在 /root 中 历史: head,COUNT,5
7,准备使用 node 先检查是否存在 当前: /mnt 历史: 无,INSPECT,4
8,沙箱诊断: 获取当前时间 当前路径 /var 历史: 无,INFO,3
9,当前位于 /tmp 注意到文件 test.sh 历史: 无,READ,0
10,当前路径 /dev 需搜索 config 相关条目 历史: 无,SEARCH,2
11,检查 mysql 的安装路径 环境: /mnt 历史: 无,INSPECT,4
12,查看进程信息以了解环境状态 当前: /var 历史: grep → uptime,INFO,3
13,已了解 /opt 部分内容 准备继续探索 历史: pwd → grep,EXPLORE,6
14,环境地图不完整 当前 /proc 需探索更多 历史: 无,EXPLORE,6
15,沙箱中定位 netstat 当前目录 /etc 历史: 无,INSPECT,4
16,沙箱目录 /usr/local/bin 存在文件 docker-compose 上步操作: 发现新目录 /usr/local/bin 历史: 无,READ,0
17,刚进入 /var 准备查看目录内容 历史: 无,LIST,1
18,需学习 netstat 命令 当前: /root 历史: ls,HELP,7
19,在 /var/log 中需要了解目录布局 历史: 无,LIST,1
20,帮助查询: find 当前路径 /home 历史: 无,HELP,7
21,准备执行 git --help 当前: /dev 历史: uptime → grep,HELP,7
22,/dev 附近可能有未发现的目录 准备探索 历史: 无,EXPLORE,6
23,查看运行时间以了解环境状态 当前: /tmp 历史: 刚进入环境,INFO,3
24,准备看 zip 的帮助 环境 /sys 历史: 刚进入环境,HELP,7
25,想学习 netstat 的参数 当前目录 /usr/local/bin 历史: 无,HELP,7
26,stat 行数统计 当前目录 /proc 历史: grep,COUNT,5
27,环境: /var/log 准备获取 git 帮助信息 历史: 无,HELP,7
28,/opt 附近可能有未发现的目录 准备探索 历史: 刚进入环境,EXPLORE,6
29,系统概览: 查看进程信息 路径: /root 历史: head,INFO,3
30,刚刚 cd 到 /home 需要看看里面有什么 历史: 刚进入环境,LIST,1
31,位置: / 准备执行目录浏览 历史: 无,LIST,1
32,/root 目录下找到 fstab 上步: 刚进入环境 历史: 刚进入环境,READ,0
33,统计 /opt/scripts/backup.sh 的行数量 历史: head → cat /proc/cpuinfo → ps,COUNT,5
34,需确认 netstat 命令是否存在 当前目录 /usr/local/bin 历史: 刚进入环境,INSPECT,4
35,random 行数统计 当前目录 /dev 历史: 无,COUNT,5
36,random 中可能包含 root 需搜索验证 历史: wc → cat → cd,SEARCH,2
37,目标: 在 report.txt 中查找 failed 当前: /root 历史: head → df,SEARCH,2
38,在 /sys 中需要了解目录布局 历史: 无,LIST,1
39,文件 docker-compose 有多少行 当前: /usr/local/bin 历史: 无,COUNT,5
40,准备看 ssh 的帮助 环境 /var/log 历史: 无,HELP,7
41,想运行 htop 先确认安装 当前: /usr/bin 历史: 无,INSPECT,4
42,"环境探索中 当前: /usr/local/bin 已访问 /, /home, /var/log, /var, /dev 历史: 刚进入环境",EXPLORE,6
43,系统状态未知 需获取当前时间 当前: /home 历史: whoami → cat,INFO,3
44,系统信息收集: 运行时间 位置: /root 历史: cd,INFO,3
45,沙箱环境 验证 jq 安装 当前: /sys 历史: date,INSPECT,4
46,需了解系统运行时间 环境: /home 历史: 无,INFO,3
